수준,어휘,길잡이말,품사
초급,가게,에 가다,명사
초급,가격03,이 비싸다,명사
초급,가구04,책상,명사
초급,가깝다,거리가,형용사
초급,가끔,가끔 보다,부사
초급,가늘다,손가락이,형용사
초급,가다01,학교에,동사
초급,가득01,가득 담다,부사
초급,가르치다01,한국어를,동사
초급,가리키다01,손가락으로,동사
초급,가방01,을 메다,명사
초급,가볍다,짐이,형용사
초급,가수11,직업,명사
초급,가슴01,신체,명사
초급,가요02,를 부르다,명사
초급,가운데,가운데 자리,명사
초급,가위01,로 자르다,명사
초급,가을01,계절,명사
초급,가장01,가장 빠르다,부사
초급,가져가다,집에,동사
초급,가져오다,학교로,동사
초급,가족01,식구,명사
초급,가지04,몇,의존명사
초급,가지다,돈을,동사
초급,각각01,각각 다르다,부사/명사
초급,간단하다02,간단한 설명,형용사
초급,간단히,간단히 끝내다,부사
초급,간식02,을 먹다,명사
초급,간장01,을 넣다,명사
초급,간호사,로 일하다,명사
초급,갈비01,를 먹다,명사
초급,갈비탕,을 먹다,명사
초급,갈색,색깔,명사
초급,갈아입다,옷을,동사
초급,갈아타다,기차를,동사
초급,감01,과일,명사
초급,감기04,에 걸리다,명사
초급,감기약,을 먹다,명사
초급,감다01,눈을,동사
초급,감다02,머리를,동사
초급,감사08,감사 인사,명사
초급,감자01,채소,명사
초급,갑자기,갑자기 나타나다,부사
초급,값,을 깎다,명사
초급,강01,을 건너다,명사
초급,강아지,를 키우다,명사
초급,강하다02,힘이,형용사
초급,갖다01,돈을,동사
초급,같다,서로 같다,형용사
초급,같이,같이 살다,부사
초급,갚다,돈을,동사
초급,개03,동물,명사
초급,개10,한 개,의존명사
초급,개월,삼 개월,의존명사
초급,거01,것,의존명사
초급,거기01,거기에 있다,대명사
초급,거리01,로 나가다,명사
초급,거리08,가 가깝다,명사
초급,거실02,집,명사
초급,거울01,을 보다,명사
초급,거의01,거의 없다,부사/명사
초급,거절01,을 하다,명사
초급,거짓말,을 하다,명사
초급,걱정,이 되다,명사
초급,건강03,이 나빠지다,명사
초급,건너가다,길을,동사
초급,건너다,길을,동사
초급,건너편,으로 가다,명사
초급,건물03,을 짓다,명사
초급,걷다02,길을,동사
초급,걸다02,그림을,동사
초급,걸리다01,그림이,동사
초급,걸어가다,학교에,동사
초급,걸어오다01,집에,동사
초급,걸음,이 느리다,명사
초급,검사03,숙제 검사,명사
초급,검은색,색깔,명사
초급,검정01,색깔,명사
초급,것01,먹을 것,의존명사
초급,겉01,안과 겉,명사
초급,게으르다,사람이,형용사
초급,게임,컴퓨터 게임,명사
초급,겨울,계절,명사
초급,결과02,가 나오다,명사
초급,결석01,을 하다,명사
초급,결심01,을 하다,명사
초급,결정01,을 내리다,명사
초급,결혼,을 하다,명사
초급,결혼식,을 올리다,명사
초급,경기11,를 보다,명사
초급,경찰04,경찰 조사(기관),명사
초급,경찰서,에 신고하다,명사
초급,경치02,가 좋다,명사
초급,경험,을 쌓다,명사
초급,계단04,을 오르다,명사
초급,계란,을 먹다,명사
초급,계산01,이 정확하다,명사
초급,계속04,계속 달리다,부사/명사
초급,계시다,한국에,동사
초급,계절01,이 바뀌다,명사
초급,계획01,을 세우다,명사
초급,고개01,를 들다,명사
초급,고기01,를 먹다,명사
초급,고등학교,에 입학하다,명사
초급,고등학생,이 되다,명사
초급,고르다01,선물을,동사
초급,고맙다01,마음이,형용사
초급,고모01,친척,명사
초급,고민,을 나누다,명사
초급,고속버스,를 타다,명사
초급,고양이,를 기르다,명사
초급,고장11,이 나다,명사
초급,고추장,을 넣다,명사
초급,고치다01,컴퓨터를,동사
초급,고프다,배가,형용사
초급,고향02,에 가다,명사
초급,곧01,곧 가다,부사
초급,곳01,어느 곳,명사
초급,공01,을 굴리다,명사
초급,공무원,으로 일하다,명사
초급,공부01,를 하다,명사
초급,공원03,에서 놀다,명사
